# id	disposition	subject	core functions	expression
own_arrays:15	run-fn	HB_VALTOEXP	HB_ADEL,HB_VALTOEXP	hb_ValToExp( DelOf( { 1, 2, 3 }, 2, .T. ) )
own_arrays:16	run-fn	HB_VALTOEXP	HB_ADEL,HB_VALTOEXP	hb_ValToExp( DelOf( { 1, 2, 3 }, 2, .F. ) )
own_arrays:17	run-fn	HB_VALTOEXP	HB_ADEL,HB_VALTOEXP	hb_ValToExp( DelOf( { 1, 2, 3 }, 1, .T. ) )
own_arrays:18	run-fn	HB_VALTOEXP	HB_ADEL,HB_VALTOEXP	hb_ValToExp( DelOf( { 1, 2, 3 }, 3, .T. ) )
own_arrays:19	run-fn	HB_VALTOEXP	HB_ADEL,HB_VALTOEXP	hb_ValToExp( DelOf( { 1, 2, 3 }, 0, .T. ) )
own_arrays:20	run-fn	HB_VALTOEXP	HB_ADEL,HB_VALTOEXP	hb_ValToExp( DelOf( { 1, 2, 3 }, 4, .T. ) )
own_arrays:21	run-fn	HB_VALTOEXP	HB_ADEL,HB_VALTOEXP	hb_ValToExp( DelOf( { 1 }, 1, .T. ) )
own_arrays:22	run-fn	HB_VALTOEXP	HB_ADEL,HB_VALTOEXP	hb_ValToExp( DelOf( {}, 1, .T. ) )
own_arrays:25	run-fn	HB_VALTOEXP	HB_AINS,HB_VALTOEXP	hb_ValToExp( InsOf( { 1, 2, 3 }, 2, 9, .T. ) )
own_arrays:26	run-fn	HB_VALTOEXP	HB_AINS,HB_VALTOEXP	hb_ValToExp( InsOf( { 1, 2, 3 }, 2, 9, .F. ) )
own_arrays:27	run-fn	HB_VALTOEXP	HB_AINS,HB_VALTOEXP	hb_ValToExp( InsOf( { 1, 2, 3 }, 4, 9, .T. ) )
own_arrays:28	run-fn	HB_VALTOEXP	HB_AINS,HB_VALTOEXP	hb_ValToExp( InsOf( { 1, 2, 3 }, 5, 9, .T. ) )
own_arrays:29	run-fn	HB_VALTOEXP	HB_AINS,HB_VALTOEXP	hb_ValToExp( InsOf( { 1, 2, 3 }, 1, NIL, .T. ) )
own_arrays:30	run-fn	HB_VALTOEXP	HB_AINS,HB_VALTOEXP	hb_ValToExp( InsOf( { 1, 2, 3 }, 0, 9, .T. ) )
own_arrays:31	run-fn	HB_VALTOEXP	HB_AINS,HB_VALTOEXP	hb_ValToExp( InsOf( {}, 1, 9, .T. ) )
own_arrays:32	run-fn	HB_VALTOEXP	HB_AINS,HB_VALTOEXP	hb_ValToExp( InsOf( {}, 1, 9, .F. ) )
own_arrays:37	run-fn	HB_ADEL	HB_ADEL	hb_ADel( { 1, 2, 3 }, 2, .T. )
own_arrays:38	run-fn	HB_ADEL	HB_ADEL	hb_ADel( { 1, 2, 3 }, 2 )
own_arrays:39	run-fn	HB_AINS	HB_AINS	hb_AIns( { 1, 2, 3 }, 2, 9, .T. )
own_arrays:40	run-fn	HB_AINS	HB_AINS	hb_AIns( { 1, 2, 3 }, 2, 9 )
own_arrays:41	run-fn	HB_ADEL	HB_ADEL	hb_ADel( "abc", 1 )
own_arrays:42	run-fn	HB_AINS	HB_AINS	hb_AIns( 12, 1 )
own_arrays:45	run-fn	HB_ASCAN	HB_ASCAN	hb_AScan( { 10, 20, 30 }, 20 )
own_arrays:46	run-fn	HB_ASCAN	HB_ASCAN	hb_AScan( { 10, 20, 30 }, 40 )
own_arrays:47	run-fn	HB_ASCAN	HB_ASCAN	hb_AScan( { 10, 20, 30, 20 }, 20, 3 )
own_arrays:48	run-fn	HB_ASCAN	HB_ASCAN	hb_AScan( { 10, 20, 30, 20 }, 20, 3, 1 )
own_arrays:49	run-fn	HB_ASCAN	HB_ASCAN	hb_AScan( { "ab", "abc" }, "abc", , , .T. )
own_arrays:50	run-fn	HB_ASCAN	HB_ASCAN	hb_AScan( { 1, 2, 3 }, {| n | n > 1 } )
own_arrays:51	run-fn	HB_ASCAN	HB_ASCAN	hb_AScan( {}, 1 )
own_arrays:54	run-fn	AEVAL	AEVAL	EvalSum( { 1, 2, 3, 4 }, 2, 2 )
own_arrays:55	run-fn	AEVAL	AEVAL	EvalSum( { 1, 2, 3, 4 }, 3 )
own_arrays:56	run-fn	AADD	AADD	AAdd( {}, "x" )
