# Rulings on hbtest assertions, statements and modules — every one a
# decision, with its reason (extract.py reads this file).
#
#   <id>        an assertion (rt_str:68) or a statement (rt_str:61)
#   <module>    a whole module (rt_class)
#   <module>/<routine>   one routine of it (rt_misc/HB_TString)
#
# ruling: quarantine   commented out on both sides
#         divergent    runs, but C# differs by design: does not gate
#         exclude      (module or routine) neither generated nor run
#
# id	ruling	reason
rt_class	exclude	Harbour's own object runtime (hbclass.ch, __cls*, message sends): its CLASS definitions reach the transpiler as hbclass.ch's preprocessed expansion, which it cannot read, and C# classes do not use that runtime; the transpiler suite covers classes (Alex, 2026-09-19)
rt_misc/Main_OPOVERL	exclude	operator overloading on a class built at run time with HBClass():New() — the object runtime of the rt_class ruling
rt_misc/HB_TString	exclude	builds Main_OPOVERL's class with HBClass():New() and AddInline blocks on `self` — the object runtime of the rt_class ruling

# Str( n ) without a width, decimals from the value (Alex, 2026-09-19): divergent by design
rt_date:65	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_date:76	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_date:87	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:98	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:100	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:109	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:110	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:111	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:256	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:257	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:258	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:303	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:304	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:305	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:306	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:309	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:310	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:311	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:313	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:314	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:315	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:316	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:317	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:318	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:319	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:320	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:321	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:322	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:323	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:324	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:325	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:326	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:327	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:328	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:329	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:331	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_math:332	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:111	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:112	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:113	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:114	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:115	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:116	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:118	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:120	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:123	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:124	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:125	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:128	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:129	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:130	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:131	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:133	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:134	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:136	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:137	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:138	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:139	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:140	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:141	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:142	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:144	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:145	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:148	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:157	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:158	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:159	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:160	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:161	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:162	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:163	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:164	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:165	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:166	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:167	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:168	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:171	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:172	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:173	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:174	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:175	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:176	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_str:177	divergent	Str( n ) width: a Val()/Year()/Month()/Day() result gets the default width, not its own
rt_hvma:100	divergent	Str( n ) decimals: a division that comes out even keeps its own decimals, not SET DECIMALS
rt_hvma:102	divergent	Str( n ) decimals: a division that comes out even keeps its own decimals, not SET DECIMALS
rt_hvma:118	divergent	Str( n ) decimals: a division that comes out even keeps its own decimals, not SET DECIMALS
rt_hvma:119	divergent	Str( n ) decimals: a division that comes out even keeps its own decimals, not SET DECIMALS
rt_math:341	divergent	Str( n ) decimals: a division that comes out even keeps its own decimals, not SET DECIMALS
rt_math:342	divergent	Str( n ) decimals: a division that comes out even keeps its own decimals, not SET DECIMALS
rt_math:346	divergent	Str( n ) decimals: a division that comes out even keeps its own decimals, not SET DECIMALS
rt_math:347	divergent	Str( n ) decimals: a division that comes out even keeps its own decimals, not SET DECIMALS
rt_math:348	divergent	Str( n ) decimals: a division that comes out even keeps its own decimals, not SET DECIMALS
rt_math:349	divergent	Str( n ) decimals: a division that comes out even keeps its own decimals, not SET DECIMALS
rt_math:350	divergent	Str( n ) decimals: a division that comes out even keeps its own decimals, not SET DECIMALS
rt_math:351	divergent	Str( n ) decimals: a division that comes out even keeps its own decimals, not SET DECIMALS
rt_trans:98	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:99	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:101	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:104	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:107	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:534	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:721	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:722	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:723	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:724	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:727	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:728	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:729	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:730	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:733	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
rt_trans:734	divergent	Transform( n, "" ) width: a Val() result gets the default width, not its own
