# Per function the application calls: the outcomes of the assertions
# it is the subject of (their outermost call), and how many other
# failing assertions it takes part in.
# function	state	app calls	pass	fail	quarantine	missing	harbour	also in
Len	implemented	2657	30	0	0	0	0	0
RTrim	implemented	2471	15	0	0	0	0	0
Empty	implemented	2456	41	0	0	0	0	0
AAdd	implemented	1572	5	0	0	0	0	0
Chr	implemented	1331	60	0	0	0	0	0
Str	implemented	1029	172	0	0	0	0	0
Val	implemented	943	0	0	0	0	0	0
Left	implemented	798	7	0	0	0	0	0
LTrim	implemented	675	15	0	0	0	0	0
hb_bitAnd	implemented	624	9	0	0	0	0	0
SubStr	implemented	609	30	0	0	0	0	0
AllTrim	implemented	542	20	0	0	0	0	0
Space	implemented	515	6	0	0	0	0	0
StrZero	implemented	491	69	0	0	0	0	0
StrTran	implemented	417	7	0	0	0	0	0
Round	implemented	402	94	0	0	0	0	0
Date	implemented	389	0	0	0	0	0	0
PadR	implemented	386	10	0	0	0	0	0
FError	implemented	364	19	0	0	0	0	0
FClose	implemented	314	8	0	0	0	0	0
Eval	implemented	290	4	0	0	0	0	0
hb_bitOr	implemented	272	5	0	0	0	0	0
File	implemented	271	14	0	0	0	0	0
Int	implemented	265	15	0	0	0	0	0
Time	implemented	265	0	0	0	0	0	0
hb_bitNot	implemented	220	3	0	0	0	0	0
At	implemented	192	20	0	0	0	0	0
ValType	implemented	192	30	0	0	0	0	0
Transform	implemented	182	528	0	0	0	0	0
FWrite	implemented	178	26	0	0	0	0	0
Trim	implemented	175	15	0	0	0	0	0
Abs	implemented	173	12	0	0	0	0	0
hb_HHasKey	implemented	168	6	0	0	0	0	0
Replicate	implemented	166	10	0	0	0	0	0
DToC	implemented	145	2	0	0	0	0	0
Seconds	implemented	144	1	0	0	0	0	0
CToD	implemented	137	3	0	0	0	0	0
hb_default	implemented	133	0	0	0	0	0	0
Array	implemented	130	7	0	0	0	0	0
hb_HSet	implemented	110	0	0	0	0	0	0
AScan	implemented	105	27	0	0	0	0	0
FOpen	implemented	99	3	0	0	0	0	0
FSeek	implemented	95	42	0	0	0	0	0
ASize	implemented	92	8	0	0	0	0	0
FCreate	implemented	92	1	0	0	0	0	0
PadC	implemented	92	10	0	0	0	0	0
Upper	implemented	90	12	0	0	0	0	0
Right	implemented	85	10	0	0	0	0	0
AClone	implemented	80	4	0	0	0	0	0
RAt	implemented	71	20	0	0	0	0	0
FErase	implemented	61	10	0	0	0	0	0
hb_mutexUnlock	implemented	59	0	0	0	0	0	0
hb_HGetDef	implemented	58	4	0	0	0	0	0
hb_jsonEncode	stub	56	0	0	0	0	0	0
hb_HKeys	implemented	49	2	0	0	0	0	0
hb_mutexLock	implemented	49	0	0	0	0	0	0
FRead	implemented	45	7	0	0	0	0	0
AFill	implemented	43	3	0	0	0	0	0
Asc	implemented	43	5	0	0	0	0	0
PadL	implemented	43	9	0	0	0	0	0
hb_socketGetError	implemented	41	0	0	0	0	0	0
Min	implemented	37	1	0	0	0	0	0
AIns	implemented	34	10	0	0	0	0	0
hb_AIns	implemented	34	3	0	0	0	0	0
ASort	implemented	33	43	0	0	0	0	0
hb_ADel	implemented	33	3	0	0	0	0	0
hb_DateTime	implemented	32	0	0	0	0	0	0
Lower	implemented	32	13	0	0	0	0	0
Set	implemented	32	28	0	0	0	0	0
